artist,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Das EFX,-0.00010216256393717559,6.265884752309692e-05,-3.3233742983987886e-06,-8.127672903950872e-05,-3.312537078251229e-05,7.377029393228282e-05,8.540198609125672e-05,1.156371000020344e-05,8.310733501036662e-05,-1.9425470808435675e-05
De La Soul,-0.00010244820977770693,4.2548231648287825e-05,8.659340317515804e-05,-6.25672410672561e-05,7.631319121778078e-07,6.484552673594657e-05,5.081809988090175e-05,-0.0001069108352220875,1.0671760754866712e-05,3.9531469239721675e-05
Death Grips,-0.00010334858655883213,5.735013632733584e-05,8.47813071613021e-05,-6.913314251723402e-05,1.7542166583761866e-05,7.85484047794823e-05,3.4935255843665884e-05,2.265740184779161e-05,3.612811130999744e-05,1.5685260874115387e-05
Del The Funky Homosapien,-9.445239580062438e-05,5.446449665235258e-05,0.0001053561815340221,-7.422427463934582e-05,4.362313573746405e-05,9.497727981643167e-05,-9.666565936113946e-06,3.077590508823815e-06,4.80063732597133e-05,-5.7919912404405446e-05
Denzel Curry,-1.905609210325729e-05,5.95262880075439e-05,2.3169394065489415e-05,-4.477315753769883e-05,-0.0002572247877974702,-7.523543214995152e-05,-3.159293219957039e-05,3.967389928733698e-05,2.235434479090925e-05,6.311807691810708e-05
Diddy,-9.463703060691961e-05,5.1192037738803755e-05,7.16468509846736e-05,-4.694407672343349e-05,2.3985173807338752e-05,7.328811636437729e-05,3.597282340183724e-05,3.3952920614097124e-05,1.5737952676404123e-05,3.8690538977317655e-05
Dizzee Rascal,-0.00011117451872930307,7.153237658703073e-05,0.00012401940260419158,-6.698526583746753e-05,2.984796084229091e-05,0.00012879266651088527,9.335254160353135e-05,7.991792015052294e-05,3.011623590231526e-05,0.00024241691623184863
Drake,-9.253757043597523e-05,5.842769972656478e-05,3.88601479440796e-05,-5.347981075381823e-05,-3.929065092924682e-06,3.734426230407374e-05,3.374560797169669e-05,3.431466280702494e-05,2.0235913489511876e-05,4.6903551231986734e-05
E-40,-8.788725884608567e-05,5.248173402808994e-05,2.7144353691001904e-05,-3.6497607167908764e-05,1.2275413968986244e-05,4.701224317003645e-05,3.2847019660568806e-05,3.951936060113835e-05,2.734830349266514e-05,3.582420076606538e-05
Eminem,-9.9374457719666e-05,5.404471172792955e-05,7.198438445843917e-05,-2.790362363202789e-05,2.5720280320200264e-05,6.754507760087682e-05,4.2467208320574785e-05,3.913397978892342e-05,1.4888060585944917e-05,3.55066320427298e-05
Eve,-0.00010256517000002426,5.195029772473792e-05,9.789997149156262e-05,0.0001104082685225094,3.71208498378822e-05,7.185963909944881e-05,6.106779937655284e-05,2.8966171677512142e-05,1.961833989642624e-05,6.563693846875542e-05
Fat Joe,-1.9804727560039293e-05,5.7931351250020475e-05,7.55590152194886e-05,-5.78084388989111e-05,1.9279648280053574e-05,5.3134495572842416e-05,0.00010202554387110623,4.025117290857356e-05,2.6389261185180537e-05,7.529234757732488e-05
Flatbush Zombies,-3.693461817743327e-05,5.9168067072312676e-05,6.47720121712738e-05,-5.663381925910111e-05,-1.1569219287452358e-05,-1.648403003725662e-06,-0.0003174062925289873,1.7458017025446026e-05,1.534444805920864e-05,4.2084331842435074e-05
Foxy Brown,-7.795485611282403e-05,3.823104279929531e-05,8.252909470943032e-05,-6.57137598561228e-05,3.0315078203970698e-05,8.723872065548991e-05,6.730176824280322e-05,3.374853825629477e-05,4.628004055157964e-05,2.0315112224239888e-05
Future,-8.932578788072009e-05,7.025027104490221e-05,-4.1193434295391875e-05,-6.500599727666272e-05,-4.489101167739721e-05,3.981585625151087e-05,3.287341550374558e-05,3.571603585137235e-05,2.2944594970567936e-05,3.2245518339158894e-05
G-Eazy,-6.238909467262854e-05,7.016605920980789e-05,-3.357986505804733e-05,-5.8902640547374046e-05,-5.810107683344904e-06,4.726027181154602e-05,4.345506017671832e-05,4.50635842242377e-05,1.71680671750954e-05,8.42452273806864e-05
GZA,-9.139743552402386e-05,5.365531049139582e-05,9.41013543783126e-05,1.6231302956447602e-05,2.9300831140525653e-05,7.637176556633509e-05,4.6684685927817864e-05,4.849969811714445e-05,8.673788703312786e-05,-0.00022252500642464128
Gang Starr,-9.632841968565863e-05,4.9250387738399714e-05,6.830434036347626e-05,-5.832303572056234e-05,1.1668252036084288e-05,6.439887821957492e-05,3.537623686306161e-05,3.647805549341475e-05,1.665009741329772e-05,4.952486855802186e-05
Geto Boys,-0.00010285738163119097,5.8408566102132294e-05,6.555982630855867e-05,-5.9766678162517445e-05,-1.8322820174751325e-05,3.7699093342575205e-05,4.7055292217386074e-05,3.92480560186319e-05,1.8007485890147574e-05,5.610229148539831e-05
Ghostface Killah,-7.032620364946356e-05,4.908929244700801e-05,8.187517328273054e-05,-5.0248841064142727e-05,2.9576589718792793e-05,7.768147843764506e-05,1.4950420818450969e-05,4.183705758392378e-05,7.624822131253766e-05,-0.00011773678572505225
Goodie Mob,-0.00010069160948897242,5.204807462556946e-05,6.642855154371076e-05,-6.357617328603213e-05,3.107946595426387e-05,8.73297010052127e-05,4.689348873261083e-05,2.175739988813334e-05,2.2489004179185526e-05,8.005037674456463e-05
Gucci Mane,-8.949107881066779e-05,7.531342460752102e-05,-0.0002986878620139852,-8.355610323990622e-06,-5.216063462336292e-05,3.5526386126219125e-05,1.0621667496689432e-05,8.721366147899058e-05,5.0030959984261694e-05,0.00011654138001660231
Hopsin,-8.341965066150861e-05,4.726034116116527e-05,5.9209760387036236e-05,-5.3908806076925124e-05,3.860028556765067e-05,5.966938074430278e-05,3.4423915411759475e-05,2.4870070375951585e-05,3.367178307589439e-06,5.390214289287487e-05
